Hakem ID,İsim,Uzmanlık Alanları,Geçmiş Proje Başlıkları,cleaned_expertise,cleaned_past_projects,bert_input
11,Doç. Dr. Berk Yücel,"Nanoteknoloji, Biyomedikal Mühendislik, Kanser Tedavisi","Nanopartiküller ile Hedefli İlaç Taşınımı, Fototermal Terapi Uygulamaları, Biyomedikal Nanoteknoloji Araştırmaları",nanoteknoloji biyomedikal mühendislik kanser tedavisi,nanopartiküller hedefli i laç taşınımı fototermal terapi uygulamaları biyomedikal nanoteknoloji araştırmaları,nanoteknoloji biyomedikal mühendislik kanser tedavisi nanopartiküller hedefli i laç taşınımı fototermal terapi uygulamaları biyomedikal nanoteknoloji araştırmaları
12,Prof. Dr. Deniz Şahin,"Endokrinoloji, Metabolizma, Diyabet","İnkretin Bazlı Tedavi Araştırmaları, Tip 2 Diyabette Kardiyovasküler Risk, Metabolik Sendrom Çalışmaları",endokrinoloji metabolizma diyabet,i nkretin bazlı tedavi araştırmaları tip diyabette kardiyovasküler risk metabolik sendrom çalışmaları,endokrinoloji metabolizma diyabet i nkretin bazlı tedavi araştırmaları tip diyabette kardiyovasküler risk metabolik sendrom çalışmaları
13,Doç. Dr. Murat Aksoy,"Romatoloji, İmmünoloji, Epigenetik","Romatoid Artritte Epigenetik Değişiklikler, Otoimmün Hastalıklarda Biyobelirteçler, İnflamatuar Hastalıklarda Yeni Tedavi Yaklaşımları",romatoloji i mmünoloji epigenetik,romatoid artritte epigenetik değişiklikler otoimmün hastalıklarda biyobelirteçler i nflamatuar hastalıklarda yeni tedavi yaklaşımları,romatoloji i mmünoloji epigenetik romatoid artritte epigenetik değişiklikler otoimmün hastalıklarda biyobelirteçler i nflamatuar hastalıklarda yeni tedavi yaklaşımları
14,Prof. Dr. Sevgi Yıldırım,"Radyoloji, Yapay Zeka, Görüntü Analizi","Radyomiks Analizi ve Klinik Uygulamalar, Medikal Görüntülemede Yapay Zeka, Kanser Tanısında İleri Görüntüleme Teknikleri",radyoloji yapay zeka görüntü analizi,radyomiks analizi klinik uygulamalar medikal görüntülemede yapay zeka kanser tanısında i leri görüntüleme teknikleri,radyoloji yapay zeka görüntü analizi radyomiks analizi klinik uygulamalar medikal görüntülemede yapay zeka kanser tanısında i leri görüntüleme teknikleri
15,Doç. Dr. Emre Kara,"Metabolizma, Obezite, Adipoz Doku","Kahverengi Yağ Dokusu Aktivasyonu, Metabolik Hastalıklarda Yeni Tedavi Hedefleri, Obezitede Moleküler Mekanizmalar",metabolizma obezite adipoz doku,kahverengi yağ dokusu aktivasyonu metabolik hastalıklarda yeni tedavi hedefleri obezitede moleküler mekanizmalar,metabolizma obezite adipoz doku kahverengi yağ dokusu aktivasyonu metabolik hastalıklarda yeni tedavi hedefleri obezitede moleküler mekanizmalar
16,Prof. Dr. Zehra Aydın,"Nöroloji, Epilepsi, Nörofizyoloji","Epilepside EEG Analizi ve Yapay Zeka, Nöbet Tahmin Sistemleri, Nörolojik Hastalıklarda Biyobelirteç Araştırmaları",nöroloji epilepsi nörofizyoloji,epilepside eeg analizi yapay zeka nöbet tahmin sistemleri nörolojik hastalıklarda biyobelirteç araştırmaları,nöroloji epilepsi nörofizyoloji epilepside eeg analizi yapay zeka nöbet tahmin sistemleri nörolojik hastalıklarda biyobelirteç araştırmaları
17,Doç. Dr. Serkan Demir,"Dermatoloji, Onkoloji, Melanom","Melanom Metastazında Moleküler Mekanizmalar, Deri Kanserlerinde Eksozom Araştırmaları, Dermato-onkolojide Yeni Tedavi Yaklaşımları",dermatoloji onkoloji melanom,melanom metastazında moleküler mekanizmalar deri kanserlerinde eksozom araştırmaları dermato onkolojide yeni tedavi yaklaşımları,dermatoloji onkoloji melanom melanom metastazında moleküler mekanizmalar deri kanserlerinde eksozom araştırmaları dermato onkolojide yeni tedavi yaklaşımları
18,Prof. Dr. Aslı Özer,"Nöroloji, Baş Ağrısı, Nöroimmünoloji","Migrende Nöroinflamatuar Belirteçler, Kronik Baş Ağrısında Vagal Stimülasyon, Nöroimmünolojik Hastalıklarda Tedavi Yaklaşımları",nöroloji baş ağrısı nöroimmünoloji,migrende nöroinflamatuar belirteçler kronik baş ağrısında vagal stimülasyon nöroimmünolojik hastalıklarda tedavi yaklaşımları,nöroloji baş ağrısı nöroimmünoloji migrende nöroinflamatuar belirteçler kronik baş ağrısında vagal stimülasyon nöroimmünolojik hastalıklarda tedavi yaklaşımları
19,Doç. Dr. Burak Yılmaz,"Hematoloji, Kök Hücre Nakli, İmmünoloji","Kemik İliği Naklinde GVHD Önleme, Hematopoetik Kök Hücre Araştırmaları, İmmün Sistem Hastalıklarında Yeni Tedaviler",hematoloji kök hücre nakli i mmünoloji,kemik i liği naklinde gvhd önleme hematopoetik kök hücre araştırmaları i mmün sistem hastalıklarında yeni tedaviler,hematoloji kök hücre nakli i mmünoloji kemik i liği naklinde gvhd önleme hematopoetik kök hücre araştırmaları i mmün sistem hastalıklarında yeni tedaviler
20,Prof. Dr. Gül Eren,"Psikiyatri, Nörobilim, Görüntüleme","Şizofrenide Nöroinflamasyon Çalışmaları, Psikiyatrik Hastalıklarda PET Görüntüleme, Mental Hastalıklarda Biyobelirteç Araştırmaları",psikiyatri nörobilim görüntüleme,şizofrenide nöroinflamasyon çalışmaları psikiyatrik hastalıklarda pet görüntüleme mental hastalıklarda biyobelirteç araştırmaları,psikiyatri nörobilim görüntüleme şizofrenide nöroinflamasyon çalışmaları psikiyatrik hastalıklarda pet görüntüleme mental hastalıklarda biyobelirteç araştırmaları
21,Doç. Dr. Canan Yücel,"Ortopedi, Rejeneratif Tıp, Biyomalzemeler","Osteoartritte PRP ve Hyaluronik Asit, Eklem Hastalıklarında Rejeneratif Tedaviler, Ortopedik Cerrahide Biyomalzeme Uygulamaları",ortopedi rejeneratif tıp biyomalzemeler,osteoartritte prp hyaluronik asit eklem hastalıklarında rejeneratif tedaviler ortopedik cerrahide biyomalzeme uygulamaları,ortopedi rejeneratif tıp biyomalzemeler osteoartritte prp hyaluronik asit eklem hastalıklarında rejeneratif tedaviler ortopedik cerrahide biyomalzeme uygulamaları
22,Prof. Dr. Orhan Kaya,"Kardiyoloji, Yapay Zeka, Aritmi","Atriyal Fibrilasyonda EKG Analizi, Kardiyak Görüntülemede Yapay Zeka, Kalp Hastalıklarında Risk Belirleme",kardiyoloji yapay zeka aritmi,atriyal fibrilasyonda ekg analizi kardiyak görüntülemede yapay zeka kalp hastalıklarında risk belirleme,kardiyoloji yapay zeka aritmi atriyal fibrilasyonda ekg analizi kardiyak görüntülemede yapay zeka kalp hastalıklarında risk belirleme
23,Doç. Dr. Melis Arslan,"Hepatoloji, Viral Hepatit, İmmünoloji","Kronik Hepatit B'de İmmün Yanıt, Viral Hepatitte Biyobelirteçler, Karaciğer Hastalıklarında İmmünolojik Yaklaşımlar",hepatoloji viral hepatit i mmünoloji,kronik hepatit b i mmün yanıt viral hepatitte biyobelirteçler karaciğer hastalıklarında i mmünolojik yaklaşımlar,hepatoloji viral hepatit i mmünoloji kronik hepatit b i mmün yanıt viral hepatitte biyobelirteçler karaciğer hastalıklarında i mmünolojik yaklaşımlar
24,Prof. Dr. Tolga Özkan,"Nöroloji, ALS, Nörodejenerasyon","ALS'de RNA Metabolizması, Motor Nöron Hastalıklarında Gen Ekspresyonu, Nörodejeneratif Hastalıklarda Moleküler Mekanizmalar",nöroloji als nörodejenerasyon,als rna metabolizması motor nöron hastalıklarında gen ekspresyonu nörodejeneratif hastalıklarda moleküler mekanizmalar,nöroloji als nörodejenerasyon als rna metabolizması motor nöron hastalıklarında gen ekspresyonu nörodejeneratif hastalıklarda moleküler mekanizmalar
25,Doç. Dr. İpek Yalçın,"Biyokimya, Moleküler Biyoloji, Proteomiks","Protein Agregasyonu ve Hastalık İlişkisi, Moleküler Tanı Yöntemleri Geliştirme, Biyobelirteç Validasyon Çalışmaları",biyokimya moleküler biyoloji proteomiks,protein agregasyonu hastalık i lişkisi moleküler tanı yöntemleri geliştirme biyobelirteç validasyon çalışmaları,biyokimya moleküler biyoloji proteomiks protein agregasyonu hastalık i lişkisi moleküler tanı yöntemleri geliştirme biyobelirteç validasyon çalışmaları
26,Prof. Dr. Kerem Yıldız,"Malzeme Bilimi, Seramik Teknolojileri, Biyomalzemeler","Dental Seramiklerde Mekanik Özellik İyileştirme, Zirkonya Esaslı Dental Materyaller, Biyouyumlu Seramik Malzemelerin Geliştirilmesi",malzeme bilimi seramik teknolojileri biyomalzemeler,dental seramiklerde mekanik özellik i yileştirme zirkonya esaslı dental materyaller biyouyumlu seramik malzemelerin geliştirilmesi,malzeme bilimi seramik teknolojileri biyomalzemeler dental seramiklerde mekanik özellik i yileştirme zirkonya esaslı dental materyaller biyouyumlu seramik malzemelerin geliştirilmesi
27,Doç. Dr. Sema Aktaş,"Mikrobiyoloji, Enfeksiyon Hastalıkları, Biyofilm","Termal Sularda Mikrobiyal Çeşitlilik, Hastane Enfeksiyonlarında Biyofilm, Aspergillus Türlerinin Moleküler Tanımlanması",mikrobiyoloji enfeksiyon hastalıkları biyofilm,termal sularda mikrobiyal çeşitlilik hastane enfeksiyonlarında biyofilm aspergillus türlerinin moleküler tanımlanması,mikrobiyoloji enfeksiyon hastalıkları biyofilm termal sularda mikrobiyal çeşitlilik hastane enfeksiyonlarında biyofilm aspergillus türlerinin moleküler tanımlanması
28,Prof. Dr. Cem Güven,"Yapay Zeka, Makine Öğrenmesi, Veri Madenciliği","Derin Öğrenme ile Görüntü Sınıflandırma, Büyük Veri Analitiği Uygulamaları, Yapay Sinir Ağları ile Tahminleme",yapay zeka makine öğrenmesi veri madenciliği,derin öğrenme görüntü sınıflandırma büyük veri analitiği uygulamaları yapay sinir ağları tahminleme,yapay zeka makine öğrenmesi veri madenciliği derin öğrenme görüntü sınıflandırma büyük veri analitiği uygulamaları yapay sinir ağları tahminleme
29,Dr. Özge Demir,"Çevre Mühendisliği, Su Kaynakları, Atık Yönetimi","Endüstriyel Atık Su Arıtımı, Sürdürülebilir Su Yönetimi, Çevresel Etki Değerlendirmesi",çevre mühendisliği su kaynakları atık yönetimi,endüstriyel atık su arıtımı sürdürülebilir su yönetimi çevresel etki değerlendirmesi,çevre mühendisliği su kaynakları atık yönetimi endüstriyel atık su arıtımı sürdürülebilir su yönetimi çevresel etki değerlendirmesi
30,Prof. Dr. Mert Avcı,"Robotik, Mekatronik, Kontrol Sistemleri","Endüstriyel Robotlarda Hareket Kontrolü, Akıllı Üretim Sistemleri, Otonom Robot Tasarımı",robotik mekatronik kontrol sistemleri,endüstriyel robotlarda hareket kontrolü akıllı üretim sistemleri otonom robot tasarımı,robotik mekatronik kontrol sistemleri endüstriyel robotlarda hareket kontrolü akıllı üretim sistemleri otonom robot tasarımı
31,Doç. Dr. Ayşe Yılmaz,"Biyoteknoloji, Fermentasyon, Enzim Teknolojisi","Endüstriyel Enzim Üretimi, Biyokatalizör Geliştirme, Mikrobiyal Fermentasyon Optimizasyonu",biyoteknoloji fermentasyon enzim teknolojisi,endüstriyel enzim üretimi biyokatalizör geliştirme mikrobiyal fermentasyon optimizasyonu,biyoteknoloji fermentasyon enzim teknolojisi endüstriyel enzim üretimi biyokatalizör geliştirme mikrobiyal fermentasyon optimizasyonu
32,Prof. Dr. Hakan Kara,"Enerji Sistemleri, Yenilenebilir Enerji, Enerji Verimliliği","Güneş Enerjisi Sistemleri Optimizasyonu, Akıllı Şebeke Uygulamaları, Enerji Depolama Teknolojileri",enerji sistemleri yenilenebilir enerji enerji verimliliği,güneş enerjisi sistemleri optimizasyonu akıllı şebeke uygulamaları enerji depolama teknolojileri,enerji sistemleri yenilenebilir enerji enerji verimliliği güneş enerjisi sistemleri optimizasyonu akıllı şebeke uygulamaları enerji depolama teknolojileri
33,Dr. Zeynep Öztürk,"Gıda Mühendisliği, Gıda Güvenliği, Beslenme","Fonksiyonel Gıda Geliştirme, Gıda Koruma Yöntemleri, Beslenme Genomikleri",gıda mühendisliği gıda güvenliği beslenme,fonksiyonel gıda geliştirme gıda koruma yöntemleri beslenme genomikleri,gıda mühendisliği gıda güvenliği beslenme fonksiyonel gıda geliştirme gıda koruma yöntemleri beslenme genomikleri
34,Prof. Dr. Ali Çetin,"Yazılım Mühendisliği, Siber Güvenlik, Kriptografi","Güvenli Yazılım Geliştirme, Blok Zincir Uygulamaları, Veri Güvenliği Protokolleri",yazılım mühendisliği siber güvenlik kriptografi,güvenli yazılım geliştirme blok zincir uygulamaları veri güvenliği protokolleri,yazılım mühendisliği siber güvenlik kriptografi güvenli yazılım geliştirme blok zincir uygulamaları veri güvenliği protokolleri
35,Doç. Dr. Nur Arslan,"Nanoteknoloji, Nanomalzemeler, Sensör Teknolojileri","Nanosensör Geliştirme, Akıllı Malzeme Tasarımı, Nanopartikül Sentezi",nanoteknoloji nanomalzemeler sensör teknolojileri,nanosensör geliştirme akıllı malzeme tasarımı nanopartikül sentezi,nanoteknoloji nanomalzemeler sensör teknolojileri nanosensör geliştirme akıllı malzeme tasarımı nanopartikül sentezi
36,Prof. Dr. Selim Tuncer,"İnşaat Mühendisliği, Yapı Malzemeleri, Deprem Mühendisliği","Yapı Dayanıklılık Analizi, Sürdürülebilir Yapı Malzemeleri, Depreme Dayanıklı Yapı Tasarımı",i nşaat mühendisliği yapı malzemeleri deprem mühendisliği,yapı dayanıklılık analizi sürdürülebilir yapı malzemeleri depreme dayanıklı yapı tasarımı,i nşaat mühendisliği yapı malzemeleri deprem mühendisliği yapı dayanıklılık analizi sürdürülebilir yapı malzemeleri depreme dayanıklı yapı tasarımı
37,Dr. Esra Yıldırım,"Kimya Mühendisliği, Polimer Teknolojisi, Kompozit Malzemeler","Biyobozunur Polimer Üretimi, Kompozit Malzeme Karakterizasyonu, Polimer Geri Dönüşüm Teknolojileri",kimya mühendisliği polimer teknolojisi kompozit malzemeler,biyobozunur polimer üretimi kompozit malzeme karakterizasyonu polimer geri dönüşüm teknolojileri,kimya mühendisliği polimer teknolojisi kompozit malzemeler biyobozunur polimer üretimi kompozit malzeme karakterizasyonu polimer geri dönüşüm teknolojileri
38,Prof. Dr. Mehmet Öz,"Elektrik-Elektronik Mühendisliği, Haberleşme, 5G Teknolojileri","5G Ağ Optimizasyonu, Kablosuz Haberleşme Sistemleri, IoT Ağ Protokolleri",elektrik elektronik mühendisliği haberleşme g teknolojileri,g ağ optimizasyonu kablosuz haberleşme sistemleri iot ağ protokolleri,elektrik elektronik mühendisliği haberleşme g teknolojileri g ağ optimizasyonu kablosuz haberleşme sistemleri iot ağ protokolleri
39,Doç. Dr. Deniz Korkmaz,"Endüstri Mühendisliği, Optimizasyon, Tedarik Zinciri","Üretim Planlama Optimizasyonu, Lojistik Ağ Tasarımı, Akıllı Fabrika Sistemleri",endüstri mühendisliği optimizasyon tedarik zinciri,üretim planlama optimizasyonu lojistik ağ tasarımı akıllı fabrika sistemleri,endüstri mühendisliği optimizasyon tedarik zinciri üretim planlama optimizasyonu lojistik ağ tasarımı akıllı fabrika sistemleri
40,Prof. Dr. Burcu Aydın,"Bilgisayar Grafikleri, Sanal Gerçeklik, Oyun Teknolojileri","3D Modelleme ve Animasyon, VR/AR Uygulama Geliştirme, Eğitsel Oyun Tasarımı",bilgisayar grafikleri sanal gerçeklik oyun teknolojileri,d modelleme animasyon vr ar uygulama geliştirme eğitsel oyun tasarımı,bilgisayar grafikleri sanal gerçeklik oyun teknolojileri d modelleme animasyon vr ar uygulama geliştirme eğitsel oyun tasarımı
41,Dr. Kaan Yılmaz,"Havacılık ve Uzay Mühendisliği, Aerodinamik, İtki Sistemleri","Drone Aerodinamik Tasarımı, Uzay Aracı İtki Sistemleri, Uçak Motoru Optimizasyonu",havacılık uzay mühendisliği aerodinamik i tki sistemleri,drone aerodinamik tasarımı uzay aracı i tki sistemleri uçak motoru optimizasyonu,havacılık uzay mühendisliği aerodinamik i tki sistemleri drone aerodinamik tasarımı uzay aracı i tki sistemleri uçak motoru optimizasyonu
42,Prof. Dr. Sibel Ak,"Jeoloji Mühendisliği, Hidrojeoloji, Yeraltı Suları","Yeraltı Su Kaynaklarının Yönetimi, Jeotermal Kaynak Araştırmaları, Çevresel Jeoloji Çalışmaları",jeoloji mühendisliği hidrojeoloji yeraltı suları,yeraltı su kaynaklarının yönetimi jeotermal kaynak araştırmaları çevresel jeoloji çalışmaları,jeoloji mühendisliği hidrojeoloji yeraltı suları yeraltı su kaynaklarının yönetimi jeotermal kaynak araştırmaları çevresel jeoloji çalışmaları
43,Doç. Dr. Emre Şahin,"Akustik Mühendisliği, Gürültü Kontrolü, Ses Sistemleri","Gürültü Haritalama, Akustik Tasarım, Ses Yalıtım Teknolojileri",akustik mühendisliği gürültü kontrolü ses sistemleri,gürültü haritalama akustik tasarım ses yalıtım teknolojileri,akustik mühendisliği gürültü kontrolü ses sistemleri gürültü haritalama akustik tasarım ses yalıtım teknolojileri
44,Prof. Dr. Aslı Demir,"Tekstil Mühendisliği, Teknik Tekstiller, Akıllı Kumaşlar","Akıllı Tekstil Tasarımı, Medikal Tekstil Geliştirme, Koruyucu Giysi Teknolojileri",tekstil mühendisliği teknik tekstiller akıllı kumaşlar,akıllı tekstil tasarımı medikal tekstil geliştirme koruyucu giysi teknolojileri,tekstil mühendisliği teknik tekstiller akıllı kumaşlar akıllı tekstil tasarımı medikal tekstil geliştirme koruyucu giysi teknolojileri
45,Dr. Okan Yıldız,"Otomotiv Mühendisliği, Elektrikli Araçlar, Batarya Teknolojileri","Elektrikli Araç Batarya Yönetimi, Hibrit Araç Sistemleri, Araç Elektroniği Tasarımı",otomotiv mühendisliği elektrikli araçlar batarya teknolojileri,elektrikli araç batarya yönetimi hibrit araç sistemleri araç elektroniği tasarımı,otomotiv mühendisliği elektrikli araçlar batarya teknolojileri elektrikli araç batarya yönetimi hibrit araç sistemleri araç elektroniği tasarımı
46,Prof. Dr. Ece Kaya,"Matematik, Optimizasyon, Finansal Matematik","Finansal Risk Modellemesi, Matematiksel Optimizasyon Algoritmaları, Veri Analizi Yöntemleri",matematik optimizasyon finansal matematik,finansal risk modellemesi matematiksel optimizasyon algoritmaları veri analizi yöntemleri,matematik optimizasyon finansal matematik finansal risk modellemesi matematiksel optimizasyon algoritmaları veri analizi yöntemleri
47,Doç. Dr. Berk Öztürk,"Fizik, Kuantum Hesaplama, Optik","Kuantum Bilgisayar Algoritmaları, Optik Sensör Geliştirme, Lazer Teknolojileri",fizik kuantum hesaplama optik,kuantum bilgisayar algoritmaları optik sensör geliştirme lazer teknolojileri,fizik kuantum hesaplama optik kuantum bilgisayar algoritmaları optik sensör geliştirme lazer teknolojileri
48,Prof. Dr. İrem Aktaş,"Meteoroloji, İklim Değişikliği, Atmosfer Bilimleri","İklim Modelleme, Hava Kirliliği Analizi, Meteorolojik Tahmin Sistemleri",meteoroloji i klim değişikliği atmosfer bilimleri,i klim modelleme hava kirliliği analizi meteorolojik tahmin sistemleri,meteoroloji i klim değişikliği atmosfer bilimleri i klim modelleme hava kirliliği analizi meteorolojik tahmin sistemleri
49,Dr. Arda Yılmaz,"Biyomekanik, Spor Bilimleri, Hareket Analizi","Sporcu Performans Analizi, Rehabilitasyon Teknolojileri, Biyomekanik Modelleme",biyomekanik spor bilimleri hareket analizi,sporcu performans analizi rehabilitasyon teknolojileri biyomekanik modelleme,biyomekanik spor bilimleri hareket analizi sporcu performans analizi rehabilitasyon teknolojileri biyomekanik modelleme
50,Prof. Dr. Selin Kara,"Mimarlık, Sürdürülebilir Tasarım, Yapı Fiziği","Enerji Etkin Bina Tasarımı, Akustik Mimari, Yeşil Bina Sertifikasyon Sistemleri",mimarlık sürdürülebilir tasarım yapı fiziği,enerji etkin bina tasarımı akustik mimari yeşil bina sertifikasyon sistemleri,mimarlık sürdürülebilir tasarım yapı fiziği enerji etkin bina tasarımı akustik mimari yeşil bina sertifikasyon sistemleri
51,Prof. Dr. Levent Aydın,"Tıbbi Görüntü İşleme, Derin Öğrenme, Radyomiks","Beyin Tümörlerinin Otomatik Segmentasyonu ve Radyomiks Analizi, MR Görüntülerinde Yapay Zeka Tabanlı Multiple Skleroz Lezyon Tespiti, PET/CT Görüntülerinde Derin Öğrenme ile Metastaz Analizi",tıbbi görüntü i şleme derin öğrenme radyomiks,beyin tümörlerinin otomatik segmentasyonu radyomiks analizi mr görüntülerinde yapay zeka tabanlı multiple skleroz lezyon tespiti pet ct görüntülerinde derin öğrenme metastaz analizi,tıbbi görüntü i şleme derin öğrenme radyomiks beyin tümörlerinin otomatik segmentasyonu radyomiks analizi mr görüntülerinde yapay zeka tabanlı multiple skleroz lezyon tespiti pet ct görüntülerinde derin öğrenme metastaz analizi
52,Doç. Dr. Merve Demir,"Biyoinformatik, Genomik Veri Analizi, Makine Öğrenmesi","Kanser Genomik Verilerinin Derin Öğrenme ile Analizi, RNA-Seq Veri Analizi için Yapay Zeka Algoritmaları, Tek Hücre Genomik Verilerinde Makine Öğrenmesi Uygulamaları",biyoinformatik genomik veri analizi makine öğrenmesi,kanser genomik verilerinin derin öğrenme analizi rna seq veri analizi yapay zeka algoritmaları tek hücre genomik verilerinde makine öğrenmesi uygulamaları,biyoinformatik genomik veri analizi makine öğrenmesi kanser genomik verilerinin derin öğrenme analizi rna seq veri analizi yapay zeka algoritmaları tek hücre genomik verilerinde makine öğrenmesi uygulamaları
